CSV file already exists: /data/juno/lin/agent/drsai-main/my_agent/stock_monitor/data/stock_data.csv
Loaded 647247 existing records for deduplication (by second)
### Connected ###
Saved: BINANCE:BTCUSDT | Price: 78484.79 | Volume: 0.00018 | Time: 2026-02-03 10:43:04.287
Saved: BINANCE:BTCUSDT | Price: 78484.78 | Volume: 0.0004 | Time: 2026-02-03 10:43:05.372
Saved: BINANCE:BTCUSDT | Price: 78484.79 | Volume: 0.0003 | Time: 2026-02-03 10:43:06.097
Saved: BINANCE:BTCUSDT | Price: 78484.78 | Volume: 9e-05 | Time: 2026-02-03 10:43:07.002
Saved: BINANCE:BTCUSDT | Price: 78484.78 | Volume: 0.014 | Time: 2026-02-03 10:43:08.280
Saved: BINANCE:BTCUSDT | Price: 78488.29 | Volume: 3e-05 | Time: 2026-02-03 10:43:09.530
Saved: BINANCE:BTCUSDT | Price: 78489.3 | Volume: 7e-05 | Time: 2026-02-03 10:43:10.428
Saved: BINANCE:BTCUSDT | Price: 78491.86 | Volume: 7e-05 | Time: 2026-02-03 10:43:11.086
Saved: BINANCE:BTCUSDT | Price: 78525.82 | Volume: 0.00013 | Time: 2026-02-03 10:43:12.493
Saved: BINANCE:BTCUSDT | Price: 78525.81 | Volume: 0.014 | Time: 2026-02-03 10:43:13.008
Saved: BINANCE:BTCUSDT | Price: 78533.54 | Volume: 7e-05 | Time: 2026-02-03 10:43:14.398
Saved: BINANCE:BTCUSDT | Price: 78536.82 | Volume: 0.014 | Time: 2026-02-03 10:43:15.344
Saved: BINANCE:BTCUSDT | Price: 78536.83 | Volume: 0.00013 | Time: 2026-02-03 10:43:16.126
Saved: BINANCE:BTCUSDT | Price: 78534.19 | Volume: 0.02546 | Time: 2026-02-03 10:43:17.142
Saved: BINANCE:BTCUSDT | Price: 78518.62 | Volume: 0.00013 | Time: 2026-02-03 10:43:18.775
Saved: BINANCE:BTCUSDT | Price: 78518.63 | Volume: 0.03273 | Time: 2026-02-03 10:43:19.739
Saved: BINANCE:BTCUSDT | Price: 78518.62 | Volume: 0.00035 | Time: 2026-02-03 10:43:20.009
Saved: BINANCE:BTCUSDT | Price: 78518.63 | Volume: 0.00047 | Time: 2026-02-03 10:43:21.248
Saved: BINANCE:BTCUSDT | Price: 78518.63 | Volume: 0.00157 | Time: 2026-02-03 10:43:22.378
Saved: BINANCE:BTCUSDT | Price: 78518.63 | Volume: 6e-05 | Time: 2026-02-03 10:43:23.914
Saved: BINANCE:BTCUSDT | Price: 78518.62 | Volume: 8e-05 | Time: 2026-02-03 10:43:24.005
Saved: BINANCE:BTCUSDT | Price: 78518.63 | Volume: 0.00822 | Time: 2026-02-03 10:43:25.183
Saved: BINANCE:BTCUSDT | Price: 78503.87 | Volume: 0.06795 | Time: 2026-02-03 10:43:26.205
Saved: BINANCE:BTCUSDT | Price: 78503.24 | Volume: 0.014 | Time: 2026-02-03 10:43:27.155
Saved: BINANCE:BTCUSDT | Price: 78493.98 | Volume: 0.00012 | Time: 2026-02-03 10:43:28.289
Saved: BINANCE:BTCUSDT | Price: 78505.56 | Volume: 6e-05 | Time: 2026-02-03 10:43:29.288
Saved: BINANCE:BTCUSDT | Price: 78505.56 | Volume: 0.00011 | Time: 2026-02-03 10:43:30.220
Saved: BINANCE:BTCUSDT | Price: 78505.56 | Volume: 0.01189 | Time: 2026-02-03 10:43:31.204
Saved: BINANCE:BTCUSDT | Price: 78505.56 | Volume: 0.00128 | Time: 2026-02-03 10:43:32.164
Saved: BINANCE:BTCUSDT | Price: 78505.55 | Volume: 0.00021 | Time: 2026-02-03 10:43:33.050
Saved: BINANCE:BTCUSDT | Price: 78509.99 | Volume: 0.014 | Time: 2026-02-03 10:43:34.380
Saved: BINANCE:BTCUSDT | Price: 78510 | Volume: 7e-05 | Time: 2026-02-03 10:43:35.022
Saved: BINANCE:BTCUSDT | Price: 78464.24 | Volume: 7e-05 | Time: 2026-02-03 10:43:36.156
Saved: BINANCE:BTCUSDT | Price: 78452.25 | Volume: 0.002 | Time: 2026-02-03 10:43:37.027
Saved: BINANCE:BTCUSDT | Price: 78452.25 | Volume: 0.002 | Time: 2026-02-03 10:43:38.399
Saved: BINANCE:BTCUSDT | Price: 78452.25 | Volume: 0.014 | Time: 2026-02-03 10:43:39.090
Saved: BINANCE:BTCUSDT | Price: 78452.26 | Volume: 0.0002 | Time: 2026-02-03 10:43:40.826
Saved: BINANCE:BTCUSDT | Price: 78452.25 | Volume: 0.0017 | Time: 2026-02-03 10:43:41.119
Saved: BINANCE:BTCUSDT | Price: 78452.25 | Volume: 0.00011 | Time: 2026-02-03 10:43:42.001
Saved: BINANCE:BTCUSDT | Price: 78457.58 | Volume: 8e-05 | Time: 2026-02-03 10:43:43.442
Saved: BINANCE:BTCUSDT | Price: 78459.19 | Volume: 7e-05 | Time: 2026-02-03 10:43:44.430
Saved: BINANCE:BTCUSDT | Price: 78460.1 | Volume: 0.00864 | Time: 2026-02-03 10:43:45.127
Saved: BINANCE:BTCUSDT | Price: 78460.09 | Volume: 0.014 | Time: 2026-02-03 10:43:46.085
Saved: BINANCE:BTCUSDT | Price: 78457.59 | Volume: 8e-05 | Time: 2026-02-03 10:43:47.639
Saved: BINANCE:BTCUSDT | Price: 78457.58 | Volume: 5e-05 | Time: 2026-02-03 10:43:48.200
Saved: BINANCE:BTCUSDT | Price: 78457.59 | Volume: 0.00508 | Time: 2026-02-03 10:43:49.362
Saved: BINANCE:BTCUSDT | Price: 78457.59 | Volume: 9e-05 | Time: 2026-02-03 10:43:50.075
Saved: BINANCE:BTCUSDT | Price: 78457.59 | Volume: 0.06969 | Time: 2026-02-03 10:43:51.205
Saved: BINANCE:BTCUSDT | Price: 78457.58 | Volume: 0.48261 | Time: 2026-02-03 10:43:52.277
Saved: BINANCE:BTCUSDT | Price: 78453.8 | Volume: 5e-05 | Time: 2026-02-03 10:43:53.043
Saved: BINANCE:BTCUSDT | Price: 78453.8 | Volume: 0.00397 | Time: 2026-02-03 10:43:54.259
Saved: BINANCE:BTCUSDT | Price: 78453.8 | Volume: 0.014 | Time: 2026-02-03 10:43:55.361
Saved: BINANCE:BTCUSDT | Price: 78453.81 | Volume: 0.00073 | Time: 2026-02-03 10:43:56.377
Saved: BINANCE:BTCUSDT | Price: 78453.81 | Volume: 0.00126 | Time: 2026-02-03 10:43:57.270
Saved: BINANCE:BTCUSDT | Price: 78453.81 | Volume: 0.00166 | Time: 2026-02-03 10:43:58.161
Saved: BINANCE:BTCUSDT | Price: 78450.01 | Volume: 0.00253 | Time: 2026-02-03 10:43:59.133
Saved: BINANCE:BTCUSDT | Price: 78442.05 | Volume: 0.014 | Time: 2026-02-03 10:44:00.034
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 0.06141 | Time: 2026-02-03 10:44:01.204
Saved: BINANCE:BTCUSDT | Price: 78440 | Volume: 0.01858 | Time: 2026-02-03 10:44:02.379
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 8e-05 | Time: 2026-02-03 10:44:03.049
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 0.00069 | Time: 2026-02-03 10:44:04.631
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 8e-05 | Time: 2026-02-03 10:44:05.615
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 0.00061 | Time: 2026-02-03 10:44:06.278
Saved: BINANCE:BTCUSDT | Price: 78440 | Volume: 0.014 | Time: 2026-02-03 10:44:07.054
Saved: BINANCE:BTCUSDT | Price: 78440 | Volume: 0.01263 | Time: 2026-02-03 10:44:08.207
Saved: BINANCE:BTCUSDT | Price: 78440 | Volume: 0.014 | Time: 2026-02-03 10:44:09.388
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 0.00038 | Time: 2026-02-03 10:44:10.080
Saved: BINANCE:BTCUSDT | Price: 78440.01 | Volume: 0.06743 | Time: 2026-02-03 10:44:11.213
Saved: BINANCE:BTCUSDT | Price: 78458.8 | Volume: 7e-05 | Time: 2026-02-03 10:44:12.120
Saved: BINANCE:BTCUSDT | Price: 78458.8 | Volume: 0.0001 | Time: 2026-02-03 10:44:13.243
Saved: BINANCE:BTCUSDT | Price: 78457.65 | Volume: 9e-05 | Time: 2026-02-03 10:44:14.216
Saved: BINANCE:BTCUSDT | Price: 78450.95 | Volume: 7e-05 | Time: 2026-02-03 10:44:15.977
Saved: BINANCE:BTCUSDT | Price: 78450.94 | Volume: 9e-05 | Time: 2026-02-03 10:44:16.316
Saved: BINANCE:BTCUSDT | Price: 78446.3 | Volume: 9e-05 | Time: 2026-02-03 10:44:17.014
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.00038 | Time: 2026-02-03 10:44:18.330
Saved: BINANCE:BTCUSDT | Price: 78446.3 | Volume: 0.00013 | Time: 2026-02-03 10:44:19.581
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.01328 | Time: 2026-02-03 10:44:20.174
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.014 | Time: 2026-02-03 10:44:21.299
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.02076 | Time: 2026-02-03 10:44:22.369
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.00032 | Time: 2026-02-03 10:44:23.023
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.02102 | Time: 2026-02-03 10:44:24.367
Saved: BINANCE:BTCUSDT | Price: 78446.3 | Volume: 0.00013 | Time: 2026-02-03 10:44:25.380
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 8e-05 | Time: 2026-02-03 10:44:26.100
Saved: BINANCE:BTCUSDT | Price: 78446.3 | Volume: 0.00286 | Time: 2026-02-03 10:44:27.767
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 0.014 | Time: 2026-02-03 10:44:28.263
Saved: BINANCE:BTCUSDT | Price: 78446.29 | Volume: 9e-05 | Time: 2026-02-03 10:44:29.119
Saved: BINANCE:BTCUSDT | Price: 78436.31 | Volume: 0.00023 | Time: 2026-02-03 10:44:30.025
Saved: BINANCE:BTCUSDT | Price: 78436.31 | Volume: 0.05778 | Time: 2026-02-03 10:44:31.204
Saved: BINANCE:BTCUSDT | Price: 78433.12 | Volume: 0.00011 | Time: 2026-02-03 10:44:32.159
Saved: BINANCE:BTCUSDT | Price: 78433.13 | Volume: 0.00012 | Time: 2026-02-03 10:44:33.068
Saved: BINANCE:BTCUSDT | Price: 78430.51 | Volume: 0.00079 | Time: 2026-02-03 10:44:34.028
Saved: BINANCE:BTCUSDT | Price: 78430.5 | Volume: 0.00026 | Time: 2026-02-03 10:44:35.299
Saved: BINANCE:BTCUSDT | Price: 78400 | Volume: 9e-05 | Time: 2026-02-03 10:44:37.129
Saved: BINANCE:BTCUSDT | Price: 78408.05 | Volume: 0.002 | Time: 2026-02-03 10:44:36.660
Saved: BINANCE:BTCUSDT | Price: 78399.54 | Volume: 0.00067 | Time: 2026-02-03 10:44:38.189
Saved: BINANCE:BTCUSDT | Price: 78399.55 | Volume: 0.00201 | Time: 2026-02-03 10:44:39.252
Saved: BINANCE:BTCUSDT | Price: 78389.54 | Volume: 0.002 | Time: 2026-02-03 10:44:40.571
Saved: BINANCE:BTCUSDT | Price: 78386.1 | Volume: 0.05752 | Time: 2026-02-03 10:44:41.205
Saved: BINANCE:BTCUSDT | Price: 78383.75 | Volume: 0.002 | Time: 2026-02-03 10:44:42.051
Saved: BINANCE:BTCUSDT | Price: 78382.07 | Volume: 9e-05 | Time: 2026-02-03 10:44:43.066
Saved: BINANCE:BTCUSDT | Price: 78379.68 | Volume: 0.00029 | Time: 2026-02-03 10:44:44.158
Saved: BINANCE:BTCUSDT | Price: 78379.68 | Volume: 0.002 | Time: 2026-02-03 10:44:45.099
Saved: BINANCE:BTCUSDT | Price: 78392.16 | Volume: 7e-05 | Time: 2026-02-03 10:44:46.119
Saved: BINANCE:BTCUSDT | Price: 78392.16 | Volume: 0.00063 | Time: 2026-02-03 10:44:47.038
Saved: BINANCE:BTCUSDT | Price: 78387.32 | Volume: 0.00147 | Time: 2026-02-03 10:44:48.468
Saved: BINANCE:BTCUSDT | Price: 78401.28 | Volume: 0.0006 | Time: 2026-02-03 10:44:49.058
Saved: BINANCE:BTCUSDT | Price: 78393.01 | Volume: 9e-05 | Time: 2026-02-03 10:44:50.041
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.05087 | Time: 2026-02-03 10:44:51.204
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.0073 | Time: 2026-02-03 10:44:52.792
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.00061 | Time: 2026-02-03 10:44:53.187
Saved: BINANCE:BTCUSDT | Price: 78393.01 | Volume: 0.00014 | Time: 2026-02-03 10:44:54.037
Saved: BINANCE:BTCUSDT | Price: 78393.01 | Volume: 0.00347 | Time: 2026-02-03 10:44:55.168
Saved: BINANCE:BTCUSDT | Price: 78393.01 | Volume: 0.00038 | Time: 2026-02-03 10:44:56.021
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.00151 | Time: 2026-02-03 10:44:57.104
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.00232 | Time: 2026-02-03 10:44:58.018
Saved: BINANCE:BTCUSDT | Price: 78393.02 | Volume: 0.00356 | Time: 2026-02-03 10:44:59.260
Saved: BINANCE:BTCUSDT | Price: 78393.01 | Volume: 7e-05 | Time: 2026-02-03 10:45:00.454
Saved: BINANCE:BTCUSDT | Price: 78379.67 | Volume: 0.014 | Time: 2026-02-03 10:45:01.054
Saved: BINANCE:BTCUSDT | Price: 78379.67 | Volume: 0.00095 | Time: 2026-02-03 10:45:02.669
Saved: BINANCE:BTCUSDT | Price: 78379.68 | Volume: 0.00084 | Time: 2026-02-03 10:45:03.051
Saved: BINANCE:BTCUSDT | Price: 78379.67 | Volume: 0.00019 | Time: 2026-02-03 10:45:04.036
Saved: BINANCE:BTCUSDT | Price: 78379.68 | Volume: 8e-05 | Time: 2026-02-03 10:45:05.210
Saved: BINANCE:BTCUSDT | Price: 78320.54 | Volume: 0.01571 | Time: 2026-02-03 10:45:06.183
Saved: BINANCE:BTCUSDT | Price: 78327.48 | Volume: 0.0014 | Time: 2026-02-03 10:45:07.217
Saved: BINANCE:BTCUSDT | Price: 78327.47 | Volume: 0.00275 | Time: 2026-02-03 10:45:08.010
Saved: BINANCE:BTCUSDT | Price: 78327.47 | Volume: 0.05862 | Time: 2026-02-03 10:45:09.045
Saved: BINANCE:BTCUSDT | Price: 78319.11 | Volume: 9e-05 | Time: 2026-02-03 10:45:10.270
Saved: BINANCE:BTCUSDT | Price: 78310.54 | Volume: 0.00015 | Time: 2026-02-03 10:45:11.042
Saved: BINANCE:BTCUSDT | Price: 78327 | Volume: 0.02798 | Time: 2026-02-03 10:45:12.114
Saved: BINANCE:BTCUSDT | Price: 78326.99 | Volume: 9e-05 | Time: 2026-02-03 10:45:13.180
Saved: BINANCE:BTCUSDT | Price: 78327 | Volume: 0.20031 | Time: 2026-02-03 10:45:14.234
Saved: BINANCE:BTCUSDT | Price: 78326.99 | Volume: 0.01606 | Time: 2026-02-03 10:45:15.790
Saved: BINANCE:BTCUSDT | Price: 78326.99 | Volume: 0.00056 | Time: 2026-02-03 10:45:16.166
Saved: BINANCE:BTCUSDT | Price: 78323.17 | Volume: 0.0058 | Time: 2026-02-03 10:45:17.231
Saved: BINANCE:BTCUSDT | Price: 78310.54 | Volume: 8e-05 | Time: 2026-02-03 10:45:18.287
Saved: BINANCE:BTCUSDT | Price: 78301.86 | Volume: 0.00029 | Time: 2026-02-03 10:45:19.510
Saved: BINANCE:BTCUSDT | Price: 78301.86 | Volume: 0.00026 | Time: 2026-02-03 10:45:20.153
Saved: BINANCE:BTCUSDT | Price: 78313.75 | Volume: 0.00013 | Time: 2026-02-03 10:45:21.327
Saved: BINANCE:BTCUSDT | Price: 78313.76 | Volume: 8e-05 | Time: 2026-02-03 10:45:22.536
Saved: BINANCE:BTCUSDT | Price: 78309.17 | Volume: 7e-05 | Time: 2026-02-03 10:45:23.267
Saved: BINANCE:BTCUSDT | Price: 78306.09 | Volume: 0.014 | Time: 2026-02-03 10:45:24.680
Saved: BINANCE:BTCUSDT | Price: 78306.1 | Volume: 0.0003 | Time: 2026-02-03 10:45:25.517
Saved: BINANCE:BTCUSDT | Price: 78306.1 | Volume: 0.06285 | Time: 2026-02-03 10:45:26.205
Saved: BINANCE:BTCUSDT | Price: 78306.09 | Volume: 0.014 | Time: 2026-02-03 10:45:27.016
Saved: BINANCE:BTCUSDT | Price: 78301.94 | Volume: 0.01182 | Time: 2026-02-03 10:45:28.117
Saved: BINANCE:BTCUSDT | Price: 78313.69 | Volume: 0.0068 | Time: 2026-02-03 10:45:29.067
Saved: BINANCE:BTCUSDT | Price: 78318.62 | Volume: 7e-05 | Time: 2026-02-03 10:45:31.325
Saved: BINANCE:BTCUSDT | Price: 78313.69 | Volume: 0.00056 | Time: 2026-02-03 10:45:30.626
Saved: BINANCE:BTCUSDT | Price: 78323.84 | Volume: 9e-05 | Time: 2026-02-03 10:45:32.116
Saved: BINANCE:BTCUSDT | Price: 78309.85 | Volume: 0.00026 | Time: 2026-02-03 10:45:33.325
Saved: BINANCE:BTCUSDT | Price: 78309.84 | Volume: 0.014 | Time: 2026-02-03 10:45:34.006
Saved: BINANCE:BTCUSDT | Price: 78309.85 | Volume: 8e-05 | Time: 2026-02-03 10:45:35.196
